Ensembl	Gene	DNARegion
ENSG00000006634	DBF4	7:87505531-87538856
ENSG00000006638	TBXA2R	19:3594504-3606838
ENSG00000006652	IFRD1	7:112063023-112121072
ENSG00000006695	COX10	17:13972813-14111994
ENSG00000006704	GTF2IRD1	7:73868120-74016931
ENSG00000006712	PAF1	19:39876492-39881835
ENSG00000006715	VPS41	7:38762563-38971994
ENSG00000006740	ARHGAP44	17:12692856-12894960
ENSG00000006744	ELAC2	17:12895708-12921504
ENSG00000006747	SCIN	7:12610203-12693228
ENSG00000006756	ARSD	X:2822011-2847392
ENSG00000006788	MYH13	17:10201401-10276447
ENSG00000006831	ADIPOR2	12:1797740-1897844
ENSG00000006837	CDKL3	5:133541305-133706738
ENSG00000007001	UPP2	2:158733214-158992666
ENSG00000007047	MARK4	19:45582546-45808541
ENSG00000007062	PROM1	4:15964699-16086001
ENSG00000007080	CCDC124	19:18043825-18054800
ENSG00000007129	CEACAM21	19:42055886-42093197
ENSG00000007168	PAFAH1B1	17:2496504-2588909
ENSG00000007171	NOS2	17:26083792-26127525
ENSG00000007174	DNAH9	17:11501748-11873065
ENSG00000007202	KIAA0100	17:26941458-26972472
ENSG00000007216	SLC13A2	17:26800311-26824799
ENSG00000007237	GAS7	17:9813926-10101868
ENSG00000007255	TRAPPC6A	19:45666186-45681495
ENSG00000007264	MATK	19:3777971-3802127
ENSG00000007306	CEACAM7	19:42177235-42210895
ENSG00000007312	CD79B	17:62006100-62009714
ENSG00000007314	SCN4A	17:62015914-62050278
ENSG00000007341	ST7L	1:113066140-113163447
ENSG00000007350	TKTL1	X:153524024-153558700
ENSG00000007372	PAX6	11:31806340-31839509
ENSG00000007376	RPUSD1	16:834974-838397
ENSG00000007384	RHBDF1	16:108058-126354
ENSG00000007392	LUC7L	16:238968-279462
ENSG00000007402	CACNA2D2	3:50400233-50541675
ENSG00000007516	BAIAP3	16:1383602-1399439
ENSG00000007520	TSR3	16:1399241-1401912
ENSG00000007541	PIGQ	16:616995-634136
ENSG00000007545	CRAMP1L	16:1662326-1727909
ENSG00000007866	TEAD3	6:35441374-35464853
ENSG00000007923	DNAJC11	1:6694228-6761984
ENSG00000007944	MYLIP	6:16129356-16148479
ENSG00000007952	NOX1	X:100098313-100129334
ENSG00000007968	E2F2	1:23832922-23857712
ENSG00000008018	PSMB1	6:170844205-170862429
ENSG00000008056	SYN1	X:47431303-47479252
ENSG00000008083	JARID2	6:15246527-15522252
ENSG00000008086	CDKL5	X:18443703-18671749
ENSG00000008118	CAMK1G	1:209757062-209787283
ENSG00000008128	CDK11A	1:1634169-1655766
ENSG00000008130	NADK	1:1682671-1711896
ENSG00000008226	DLEC1	3:38080696-38165516
ENSG00000008256	CYTH3	7:6201407-6312275
ENSG00000008277	ADAM22	7:87563458-87832204
ENSG00000008282	SYPL1	7:105730949-105753022
ENSG00000008283	CYB561	17:61509665-61523739
ENSG00000008294	SPAG9	17:49039535-49198226
ENSG00000008300	CELSR3	3:48673902-48700348
ENSG00000008311	AASS	7:121715701-121784334
ENSG00000008323	PLEKHG6	12:6419602-6437672
ENSG00000008324	SS18L2	3:42623332-42636606
ENSG00000008382	MPND	19:4343524-4360083
ENSG00000008405	CRY1	12:107385142-107487607
ENSG00000008438	PGLYRP1	19:46522411-46526323
ENSG00000008441	NFIX	19:13106422-13209610
ENSG00000008513	ST3GAL1	8:134467091-134584183
ENSG00000008516	MMP25	16:3096682-3110727
ENSG00000008517	IL32	16:3115298-3131908
ENSG00000008710	PKD1	16:2138711-2185899
ENSG00000008735	MAPK8IP2	22:51039114-51052409
ENSG00000008838	MED24	17:38175350-38217468
ENSG00000008853	RHOBTB2	8:22844930-22877712
ENSG00000008869	HEATR5B	2:37195526-37311485
ENSG00000008952	SEC62	3:169684423-169716161
ENSG00000008988	RPS20	8:56979854-56987069
ENSG00000009307	CSDE1	1:115259534-115301297
ENSG00000009335	UBE3C	7:156931607-157062066
ENSG00000009413	REV3L	6:111620234-111804918
ENSG00000009694	TENM1	X:123509753-124097666
ENSG00000009709	PAX7	1:18957500-19075360
ENSG00000009724	MASP2	1:11086580-11107290
ENSG00000009765	IYD	6:150690028-150727105
ENSG00000009780	FAM76A	1:28052490-28089633
ENSG00000009790	TRAF3IP3	1:209929377-209955668
ENSG00000009830	POMT2	14:77741299-77787227
ENSG00000009844	VTA1	6:142468367-142545826
ENSG00000009950	MLXIPL	7:73007524-73038873
ENSG00000009954	BAZ1B	7:72854728-72936608
ENSG00000010017	RANBP9	6:13621730-13711796
ENSG00000010030	ETV7	6:36322419-36356164
ENSG00000010072	SPRTN	1:231472850-231490769
ENSG00000010165	METTL13	1:171750788-171783163
ENSG00000010219	DYRK4	12:4671370-4723325
ENSG00000010244	ZNF207	17:30677136-30708905
ENSG00000010256	UQCRC1	3:48636435-48648409
ENSG00000010270	STARD3NL	7:38217824-38270272
ENSG00000010278	CD9	12:6308881-6347425
ENSG00000010282	HHATL	3:42734155-42744319
ENSG00000010292	NCAPD2	12:6602522-6641121
ENSG00000010295	IFFO1	12:6647541-6665239
ENSG00000010310	GIPR	19:46171502-46186982
ENSG00000010318	PHF7	3:52444673-52457657
ENSG00000010319	SEMA3G	3:52467069-52479101
ENSG00000010322	NISCH	3:52489134-52527087
ENSG00000010327	STAB1	3:52529354-52558511
ENSG00000010361	FUZ	19:50310126-50320633
ENSG00000010379	SLC6A13	12:329789-372039
ENSG00000010404	IDS	X:148558521-148615470
ENSG00000010438	PRSS3	9:33750515-33799230
ENSG00000010539	ZNF200	16:3272325-3286221
ENSG00000010610	CD4	12:6896024-6929974
ENSG00000010626	LRRC23	12:6982733-7023407
ENSG00000010671	BTK	X:100604435-100641183
ENSG00000010704	HFE	6:26087509-26098571
ENSG00000010803	SCMH1	1:41492872-41707826
ENSG00000010810	FYN	6:111981535-112194655
ENSG00000010818	HIVEP2	6:143072604-143266338
ENSG00000010932	FMO1	1:171217638-171255117
ENSG00000011007	TCEB3	1:24069645-24088549
ENSG00000011009	LYPLA2	1:24117460-24122029
ENSG00000011021	CLCN6	1:11866207-11903201
ENSG00000011028	MRC2	17:60704762-60770958
ENSG00000011105	TSPAN9	12:3186521-3395730
ENSG00000011114	BTBD7	14:93703896-93799438
ENSG00000011132	APBA3	19:3750817-3761697
ENSG00000011143	MKS1	17:56282803-56296966
ENSG00000011198	ABHD5	3:43731605-43775863
ENSG00000011201	KAL1	X:8496915-8700227
ENSG00000011243	AKAP8L	19:15490859-15529952
ENSG00000011258	MBTD1	17:49254786-49337524
ENSG00000011260	UTP18	17:49337889-49375297
ENSG00000011275	RNF216	7:5659678-5821370
ENSG00000011295	TTC19	17:15902694-15948329
ENSG00000011304	PTBP1	19:797075-812327
ENSG00000011332	DPF1	19:38701646-38720354
ENSG00000011347	SYT7	11:61282785-61348620
ENSG00000011376	LARS2	3:45429998-45590913
ENSG00000011405	PIK3C2A	11:17099277-17229530
ENSG00000011422	PLAUR	19:44150247-44174699
ENSG00000011426	ANLN	7:36429415-36493400
ENSG00000011451	WIZ	19:15532319-15560762
ENSG00000011454	RABGAP1	9:125703112-125867145
ENSG00000011478	QPCTL	19:46195741-46207247
ENSG00000011485	PPP5C	19:46850251-46896238
ENSG00000011523	CEP68	2:65283500-65314138
ENSG00000011566	MAP4K3	2:39476407-39664453
ENSG00000011590	ZBTB32	19:36195429-36207940
ENSG00000011600	TYROBP	19:36395303-36399197
ENSG00000011638	TMEM159	16:21169698-21191937
ENSG00000011677	GABRA3	X:151334706-151619830
ENSG00000012048	BRCA1	17:41196312-41277500
ENSG00000012061	ERCC1	19:45910591-45982086
ENSG00000012124	CD22	19:35810164-35838258
ENSG00000012171	SEMA3B	3:50304990-50314977
ENSG00000012174	MBTPS2	X:21857754-21903542
ENSG00000012211	PRICKLE3	X:49031151-49042845
ENSG00000012223	LTF	3:46477136-46526724
ENSG00000012232	EXTL3	8:28457986-28613116
ENSG00000012660	ELOVL5	6:53132196-53213947
ENSG00000012779	ALOX5	10:45869661-45941561
ENSG00000012817	KDM5D	Y:21865751-21906825
ENSG00000012822	CALCOCO1	12:54104903-54121529
ENSG00000012963	UBR7	14:93673401-93695561
ENSG00000012983	MAP4K5	14:50885219-51027844
ENSG00000013016	EHD3	2:31456880-31492313
ENSG00000013275	PSMC4	19:40476912-40487348
ENSG00000013288	MAN2B2	4:6576902-6625089
ENSG00000013293	SLC7A14	3:170177372-170303863
ENSG00000013297	CLDN11	3:170136653-170578169
ENSG00000013306	SLC25A39	17:42396993-42402238
ENSG00000013364	MVP	16:29831715-29859355
ENSG00000013374	NUB1	7:151038785-151075535
ENSG00000013375	PGM3	6:83870869-83903655
ENSG00000013392	RWDD2A	6:83903098-83908651
ENSG00000013441	CLK1	2:201717732-201729422
ENSG00000013503	POLR3B	12:106751436-106903976
ENSG00000013523	ANGEL1	14:77253588-77292589
ENSG00000013561	RNF14	5:141337893-141369856
ENSG00000013563	DNASE1L1	X:153629579-153640449
ENSG00000013573	DDX11	12:31226779-31257725
ENSG00000013583	HEBP1	12:13127798-13153207
ENSG00000013588	GPRC5A	12:13043716-13070871
ENSG00000013619	MAMLD1	X:149529689-149682448
ENSG00000013725	CD6	11:60739115-60787849
ENSG00000013810	TACC3	4:1723227-1746898
ENSG00000014123	UFL1	6:96969471-97003152
ENSG00000014138	POLA2	11:65029233-65073060
ENSG00000014164	ZC3H3	8:144519825-144623623
ENSG00000014216	CAPN1	11:64948037-64979477
ENSG00000014257	ACPP	3:132036211-132087142
ENSG00000014641	MDH1	2:63815743-63834331
ENSG00000014824	SLC30A9	4:41992489-42092474
ENSG00000014914	MTMR11	1:149900543-149908791
ENSG00000014919	COX15	10:101471601-101491857
ENSG00000015133	CCDC88C	14:91737667-91884188
ENSG00000015153	YAF2	12:42550906-42632151
ENSG00000015171	ZMYND11	10:180405-300577
ENSG00000015285	WAS	X:48534985-48549818
ENSG00000015413	DPEP1	16:89679716-89704839
ENSG00000015475	BID	22:18216906-18257536
ENSG00000015479	MATR3	5:138609441-138667360
ENSG00000015520	NPC1L1	7:44552134-44580914
ENSG00000015532	XYLT2	17:48423453-48440499
ENSG00000015568	RGPD5	2:110550335-110615272
ENSG00000015592	STMN4	8:27092840-27115937
ENSG00000015676	NUDCD3	7:44418720-44530479
ENSG00000016391	CHDH	3:53846362-53880417
ENSG00000016602	CLCA4	1:87012761-87046437
ENSG00000016864	GLT8D1	3:52728505-52740048
ENSG00000017260	ATP2C1	3:130569439-130735556
ENSG00000017373	SRCIN1	17:36686251-36762183
ENSG00000017427	IGF1	12:102789645-102874423
ENSG00000017483	SLC38A5	X:48316920-48328644
ENSG00000017621	MAGIX	X:49019061-49024822
ENSG00000017797	RALBP1	18:9475007-9538114
ENSG00000018189	RUFY3	4:71569921-71673032
ENSG00000018280	SLC11A1	2:219246752-219261617
ENSG00000018408	WWTR1	3:149235022-149454501
ENSG00000018510	AGPS	2:178257372-178408564
ENSG00000018610	CXorf56	X:118672112-118699397
ENSG00000018625	ATP1A2	1:160085549-160113381
ENSG00000018699	TTC27	2:32853099-33046118
ENSG00000018869	ZNF582	19:56887413-56904914
ENSG00000019102	VSIG2	11:124617368-124622134
ENSG00000019144	PHLDB1	11:118477155-118528741
ENSG00000019169	MARCO	2:119699742-119752236
ENSG00000019485	PRDM11	11:45115564-45247734
ENSG00000019505	SYT13	11:45261852-45307870
ENSG00000019582	CD74	5:149781200-149792492
ENSG00000019991	HGF	7:81328322-81399754
ENSG00000019995	ZRANB1	10:126630692-126676758
ENSG00000020129	NCDN	1:36023074-36032875
ENSG00000020181	GPR124	8:37641709-37702414
ENSG00000020219	CCT8L1P	7:152142562-152144235
ENSG00000020256	ZFP64	20:50668202-50820847
ENSG00000020426	MNAT1	14:61201460-61436671
ENSG00000020577	SAMD4A	14:55033815-55260033
ENSG00000020633	RUNX3	1:25226002-25291612
ENSG00000020922	MRE11A	11:94152895-94227074
ENSG00000021300	PLEKHB1	11:73357223-73373864
ENSG00000021355	SERPINB1	6:2832566-2842240
ENSG00000021461	CYP3A43	7:99425636-99463718
ENSG00000021488	SLC7A9	19:33321415-33360672
ENSG00000021574	SPAST	2:32288680-32382706
ENSG00000021645	NRXN3	14:78708734-80330762
ENSG00000021762	OSBPL5	11:3108346-3187969
ENSG00000021776	AQR	15:35147732-35262040
ENSG00000021826	CPS1	2:211342406-211543831
ENSG00000021852	C8B	1:57394883-57431813
ENSG00000022267	FHL1	X:135229559-135293518
ENSG00000022277	RTFDC1	20:55043647-55093943
ENSG00000022355	GABRA1	5:161274197-161326975
ENSG00000022556	NLRP2	19:55464498-55512510
ENSG00000022567	SLC45A4	8:142217265-142318404
ENSG00000022840	RNF10	12:120971283-121015397
ENSG00000022976	ZNF839	14:102783714-102809044
ENSG00000023041	ZDHHC6	10:114190058-114206672
ENSG00000023171	GRAMD1B	11:123396344-123498482
ENSG00000023191	RNH1	11:494512-507300
ENSG00000023228	NDUFS1	2:206979541-207024327
ENSG00000023287	RB1CC1	8:53535016-53658403
ENSG00000023318	ERP44	9:102741461-102861322
ENSG00000023330	ALAS1	3:52232102-52248343
ENSG00000023445	BIRC3	11:102188215-102210134
ENSG00000023516	AKAP11	13:42846289-42897396
ENSG00000023572	GLRX2	1:193065598-193075244
ENSG00000023608	SNAPC1	14:62229075-62263146
ENSG00000023697	DERA	12:16064106-16190220
ENSG00000023734	STRAP	12:16035325-16056412
ENSG00000023839	ABCC2	10:101542489-101611949
ENSG00000023892	DEF6	6:35265595-35289548
ENSG00000023902	PLEKHO1	1:150121373-150136916
ENSG00000023909	GCLM	1:94350761-94374966
ENSG00000024048	UBR2	6:42531800-42661242
ENSG00000024422	EHD2	19:48216600-48246391
ENSG00000024526	DEPDC1	1:68939835-68962904
ENSG00000024862	CCDC28A	6:139094657-139114456
ENSG00000025039	RRAGD	6:90074355-90121989
ENSG00000025156	HSF2	6:122720691-122754264
ENSG00000025293	PHF20	20:34359896-34538303
ENSG00000025423	HSD17B6	12:57145945-57181574
ENSG00000025434	NR1H3	11:47269851-47290396
ENSG00000025708	TYMP	22:50964181-50968485
ENSG00000025770	NCAPH2	22:50946645-50961901
ENSG00000025772	TOMM34	20:43570771-43589127
ENSG00000025796	SEC63	6:108188960-108279393
ENSG00000025800	KPNA6	1:32573639-32642169
ENSG00000026025	VIM	10:17270258-17279592
ENSG00000026036	RTEL1-TNFRSF6B	20:62290653-62330037
ENSG00000026103	FAS	10:90750414-90775542
ENSG00000026297	RNASET2	6:167342992-167370679
ENSG00000026508	CD44	11:35160417-35253949
ENSG00000026559	KCNG1	20:49620193-49639666
ENSG00000026652	AGPAT4	6:161551011-161695093
ENSG00000026751	SLAMF7	1:160709037-160724611
ENSG00000026950	BTN3A1	6:26402465-26415444
ENSG00000027001	MIPEP	13:24304328-24463558
ENSG00000027075	PRKCH	14:61654277-62017694
ENSG00000027644	INSRR	1:156809855-156828810
ENSG00000027697	IFNGR1	6:137518621-137540586
ENSG00000027847	B4GALT7	5:177027101-177037348
ENSG00000027869	SH2D2A	1:156776035-156786654
ENSG00000028116	VRK2	2:58134786-58387055
ENSG00000028137	TNFRSF1B	1:12227060-12269285
ENSG00000028203	VEZT	12:95611522-95696566
ENSG00000028277	POU2F2	19:42590263-42700737
ENSG00000028310	BRD9	5:850406-892939
ENSG00000028528	SNX1	15:64386322-64438289
ENSG00000028839	TBPL1	6:134273308-134311570
ENSG00000029153	ARNTL2	12:27485787-27576241
ENSG00000029363	BCLAF1	6:136578001-136610989
ENSG00000029364	SLC39A9	14:69864732-69929105
ENSG00000029534	ANK1	8:41510739-41754280
ENSG00000029559	IBSP	4:88720733-88733074
ENSG00000029639	TFB1M	6:155578643-155635627
ENSG00000029725	RABEP1	17:5185558-5289129
ENSG00000029993	HMGB3	X:150148982-150159248
ENSG00000030066	NUP160	11:47799639-47870107
ENSG00000030110	BAK1	6:33540329-33548019
ENSG00000030419	IKZF2	2:213864429-214017151
ENSG00000030582	GRN	17:42422614-42430470
ENSG00000031003	FAM13B	5:137273649-137387650
ENSG00000031081	ARHGAP31	3:119013220-119139561
ENSG00000031544	NR2E3	15:72084977-72110600
ENSG00000031691	CENPQ	6:49431091-49460820
ENSG00000031698	SARS	1:109756540-109780791
ENSG00000031823	RANBP3	19:5916150-5978153
ENSG00000032219	ARID4A	14:58765103-58840605
ENSG00000032389	TSSC1	2:3192696-3381653
ENSG00000032444	PNPLA6	19:7598890-7626650
ENSG00000032742	IFT88	13:21140585-21265503
ENSG00000033011	ALG1	16:5083703-5137380
ENSG00000033030	ZCCHC8	12:122957417-122985518
ENSG00000033050	ABCF2	7:150904923-150924316
ENSG00000033100	CHPF2	7:150929575-150935908
ENSG00000033122	LRRC7	1:70034081-70617628
ENSG00000033170	FUT8	14:65877310-66210839
ENSG00000033178	UBA6	4:68478370-68566897
ENSG00000033327	GAB2	11:77926343-78129394
ENSG00000033627	ATP6V0A1	17:40610862-40674629
ENSG00000033800	PIAS1	15:68346517-68483096
ENSG00000033867	SLC4A7	3:27414214-27525911
ENSG00000034053	APBA2	15:29129629-29410518
ENSG00000034063	UHRF1	19:4903092-4962165
ENSG00000034152	MAP2K3	17:21187984-21218552
ENSG00000034510	TMSB10	2:85132749-85133795
ENSG00000034533	ASTE1	3:130732719-130746493
ENSG00000034677	RNF19A	8:101269288-101348446
ENSG00000034693	PEX3	6:143771944-143811147
ENSG00000034713	GABARAPL2	16:75600249-75611779
ENSG00000034971	MYOC	1:171604557-171621823
ENSG00000035115	SH3YL1	2:217730-266398
ENSG00000035141	FAM136A	2:70523107-70529222
ENSG00000035403	VCL	10:75757872-75879918
ENSG00000035499	DEPDC1B	5:59892739-59996017
ENSG00000035664	DAPK2	15:64199235-64364232
ENSG00000035681	NSMAF	8:59496063-59572403
ENSG00000035687	ADSS	1:244571796-244615436
ENSG00000035720	STAP1	4:68424446-68473055
ENSG00000035862	TIMP2	17:76849059-76921469
ENSG00000035928	RFC1	4:39289076-39367995
ENSG00000036054	TBC1D23	3:99979844-100044095
ENSG00000036257	CUL3	2:225334867-225450110
ENSG00000036448	MYOM2	8:1993155-2113475
ENSG00000036473	OTC	X:38211798-38280703
ENSG00000036530	CYP46A1	14:100150641-100193638
ENSG00000036549	ZZZ3	1:78028101-78149104
ENSG00000036672	USP2	11:119225925-119252436
ENSG00000037042	TUBG2	17:40811323-40819024
ENSG00000037241	RPL26L1	5:172385732-172396774
ENSG00000037280	FLT4	5:180028506-180076624
ENSG00000037474	NSUN2	5:6599352-6633404
ENSG00000037637	FBXO42	1:16573334-16678949
ENSG00000037749	MFAP3	5:153418466-153600038
ENSG00000037757	MRI1	19:13875346-13885096
ENSG00000037897	METTL1	12:58162254-58166576
ENSG00000037965	HOXC8	12:54402832-54407570
ENSG00000038002	AGA	4:178351924-178363657
ENSG00000038210	PI4K2B	4:25162263-25280714
ENSG00000038219	BOD1L1	4:13570362-13629347
ENSG00000038274	MAT2B	5:162930120-162946342
ENSG00000038358	EDC4	16:67906926-67918406
ENSG00000038382	TRIO	5:14143811-14532235
ENSG00000038427	VCAN	5:82767284-82878122
ENSG00000038532	CLEC16A	16:11038345-11276046
ENSG00000038945	MSR1	8:15965387-16424999
ENSG00000039068	CDH1	16:68771128-68869451
ENSG00000039123	SKIV2L2	5:54603588-54721409
ENSG00000039139	DNAH5	5:13690440-13944652
ENSG00000039319	ZFYVE16	5:79703832-79775169
ENSG00000039523	FAM65A	16:67552321-67580691
ENSG00000039560	RAI14	5:34656342-34832732
ENSG00000039600	SOX30	5:157052687-157098488
ENSG00000039650	PNKP	19:50364461-50371166
ENSG00000039987	BEST2	19:12862516-12869272
ENSG00000040199	PHLPP2	16:71671738-71758604
ENSG00000040275	SPDL1	5:169010638-169031782
ENSG00000040341	STAU2	8:74332604-74659943
ENSG00000040487	PQLC2	1:19638820-19655794
ENSG00000040531	CTNS	17:3539762-3564836
ENSG00000040608	RTN4R	22:20228938-20270769
ENSG00000040633	PHF23	17:7138347-7143041
ENSG00000040933	INPP4A	2:99061317-99210853
ENSG00000041353	RAB27B	18:52385091-52562747
ENSG00000041357	PSMA4	15:78832747-78841604
ENSG00000041515	MYO16	13:109248500-109860355
ENSG00000041802	LSG1	3:194361517-194393206
ENSG00000041880	PARP3	3:51976361-51982883
ENSG00000041982	TNC	9:117782806-117880536
ENSG00000041988	THAP3	1:6684926-6695646
ENSG00000042062	FAM65C	20:49202645-49308065
ENSG00000042088	TDP1	14:90421283-90511106
ENSG00000042286	AIFM2	10:71857979-71892690
ENSG00000042304	C2orf83	2:228474806-228498036
ENSG00000042317	SPATA7	14:88851268-88936694
ENSG00000042429	MED17	11:93517393-93547861
ENSG00000042445	RETSAT	2:85569211-85581743
ENSG00000042493	CAPG	2:85621871-85645555
